OPEN,CLOSE,HIGH,LOW,VOLUME,QPL,QPL+,QPL-,MA5,MA21,MACD,RSI,BBup,BBlow,CCI,Stoch,ADX,ATR
12977.75,13089.5,13222.5,12914.75,56508,13018.83338205601,13115.25851721785,12841.68320749407,13902.6,13845.78571428571,-88.79867336512325,37.8198600138556,14268.95784009074,12950.04215990926,-114.2574669580603,17.10881970167184,31.58710846940146,264.8958333333333
13316.75,12962.5,13351,12960.25,58371,13358.90654701272,13457.85046399883,13177.12892091439,13949.6,13823.9880952381,-59.51263252053286,33.53227117358558,14276.87089742879,13059.91481685693,-172.9029424681597,12.19743711438064,29.57448250867008,250.4583333333333
13319,13315.5,13375,13065.25,56920,13361.16366978898,13460.12430435357,13179.35533051673,13959.05,13786.91666666667,-8.336447551324454,40.79204753793944,14191.57743825989,13259.24399031154,-120.1766173929737,32.47252747252747,27.69656720671597,231.3541666666667
13716.75,13309.5,13751,13305,47462,13760.17281834808,13862.08874928612,13572.93507244278,13922.45,13736.67857142857,21.16241322830683,40.58903693220072,14179.24815046743,13353.75184953257,-155.5048364308228,34.17779126213592,26.33217890791925,225.75
13619.25,13717,13812.5,13588,45203,13662.36416471008,13763.55566724734,13476.45732300773,13907,13688.82142857143,59.11677861280077,51.78739762091188,14124.41395589014,13469.26461553844,-34.45327385101511,36.26388698395282,27.56930228667066,208.625
13483.75,13603.25,13610.25,13389,50671,13526.43521529523,13626.61994810627,13342.37798917749,13863.85,13641.60714285714,65.2095609237349,48.0740163196672,14137.12921229744,13481.54935913114,-92.15530533102869,23.93349658461142,31.38967321900727,208.6041666666667
13525.75,13483,13663,13463.25,47046,13568.56817378544,13669.06496806144,13383.93763508797,13838.35,13583.05952380952,83.61948218716498,43.82698246816386,14161.65489687923,13516.16653169219,-165.1387398436302,15.37067794051034,29.70574743400078,207.9583333333333
13785.25,13520.25,13790.25,13380.75,46015,13828.88966731426,13931.31455564156,13640.71687589202,13859,13529.84523809524,118.144589222491,44.88292093565904,14140.02778945647,13611.47221054353,-216.8540848123569,16.4785553047404,29.32349592504602,210.4791666666667
13872.75,13784.5,13946,13771.75,43789,13916.66666416887,14019.74168054816,13727.29947153885,13906.6,13495.03571428571,156.6999863588899,53.35004369297634,14077.98076079665,13717.12638206049,-100.169779286927,31.05049332559489,28.88243649163668,185.1041666666667
13944.75,13866.75,13956,13819.25,44335,13988.89459300923,14092.50457189987,13798.54457881397,13893.55,13455.54761904762,176.7259661750377,56.42667481788801,14083.82924377913,13738.34932764944,-43.98632241439056,56.87022900763359,31.99310673115402,190.9375
13964.5,13943.75,14063,13818.25,45277,14008.70711515641,14112.46383723593,13818.08750754568,13941.5,13412.5,191.341293632373,59.40472329024397,14085.32095391456,13730.60761751401,30.78653792069048,70.83639931322051,32.65372855337963,200.8125
13954.5,13968,13991.25,13877.5,44581,13998.67545837303,14102.35788010375,13808.19235375747,13927.7,13360,199.3726200432629,60.33595951593773,14081.43336043781,13715.20949670505,48.95391768084234,81.80926697720029,33.41598450210149,198.8125
